Country,Year,Month,MonthStart,Region,DealerID,DealerName,DealerRating,MembershipTier,Channel,ProductCategory,UnitsSold,UnitPrice,GrossSales,DiscountRate,DiscountAmount,NetSales
United Kingdom,2022,1,2022-01-01,London,D1001,London Dealer 1,3,Standard,Retail,Home & Garden,50,69.65,3482.5,0.0101,35.08,3447.42
United Kingdom,2022,1,2022-01-01,London,D1001,London Dealer 1,3,Standard,Retail,Clothing,90,32.04,2883.6,0.0199,57.46,2826.14
United Kingdom,2022,1,2022-01-01,London,D1001,London Dealer 1,3,Standard,Online,Grocery,345,8.07,2784.15,0.0419,116.67,2667.48
United Kingdom,2022,1,2022-01-01,London,D1001,London Dealer 1,3,Standard,Online,Beauty,143,15.95,2280.85,0.0207,47.18,2233.67
United Kingdom,2022,1,2022-01-01,London,D1002,London Dealer 2,4,Standard,Retail,Home & Garden,67,72.29,4843.43,0.0306,148.02,4695.41
United Kingdom,2022,1,2022-01-01,London,D1002,London Dealer 2,4,Standard,Retail,Clothing,105,29.23,3069.15,0.0369,113.27,2955.88
United Kingdom,2022,1,2022-01-01,London,D1002,London Dealer 2,4,Standard,Retail,Grocery,484,8.12,3930.08,0.0179,70.18,3859.9
United Kingdom,2022,1,2022-01-01,London,D1003,London Dealer 3,4,Standard,Retail,Electronics,35,228.47,7996.45,0.0377,301.34,7695.11
United Kingdom,2022,1,2022-01-01,London,D1003,London Dealer 3,4,Standard,Retail,Home & Garden,64,76.83,4917.12,0.0226,111.15,4805.97
United Kingdom,2022,1,2022-01-01,London,D1003,London Dealer 3,4,Standard,Retail,Clothing,106,29.98,3177.88,0.0348,110.5,3067.38
United Kingdom,2022,1,2022-01-01,London,D1004,London Dealer 4,4,Silver,Retail,Electronics,26,215.09,5592.34,0.0636,355.47,5236.87
United Kingdom,2022,1,2022-01-01,London,D1004,London Dealer 4,4,Silver,Retail,Home & Garden,80,73.81,5904.8,0.0436,257.27,5647.53
United Kingdom,2022,1,2022-01-01,London,D1004,London Dealer 4,4,Silver,Retail,Clothing,105,32.31,3392.55,0.0601,204.02,3188.53
United Kingdom,2022,1,2022-01-01,London,D1005,London Dealer 5,3,Standard,Retail,Electronics,29,221.82,6432.78,0.0614,395.23,6037.55
United Kingdom,2022,1,2022-01-01,London,D1005,London Dealer 5,3,Standard,Retail,Clothing,58,33.96,1969.68,0.0713,140.41,1829.27
United Kingdom,2022,1,2022-01-01,London,D1005,London Dealer 5,3,Standard,Online,Sports,75,50.2,3765.0,0.0519,195.27,3569.73
United Kingdom,2022,1,2022-01-01,London,D1005,London Dealer 5,3,Standard,Retail,Grocery,315,8.71,2743.65,0.0132,36.29,2707.36
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Online,Electronics,32,207.11,6627.52,0.0392,260.04,6367.48
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Retail,Home & Garden,60,76.17,4570.2,0.076,347.33,4222.87
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Retail,Clothing,93,33.77,3140.61,0.0056,17.72,3122.89
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Online,Sports,81,56.05,4540.05,0.0161,73.31,4466.74
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Online,Grocery,303,7.78,2357.34,0.0959,226.03,2131.31
United Kingdom,2022,1,2022-01-01,South East,D1006,South Dealer 1,3,Standard,Retail,Beauty,111,16.62,1844.82,0.0357,65.86,1778.96
United Kingdom,2022,1,2022-01-01,South East,D1007,South Dealer 2,2,Standard,Retail,Electronics,27,224.94,6073.38,0.0142,86.32,5987.06
United Kingdom,2022,1,2022-01-01,South East,D1007,South Dealer 2,2,Standard,Retail,Clothing,92,33.14,3048.88,0.0173,52.71,2996.17
United Kingdom,2022,1,2022-01-01,South East,D1007,South Dealer 2,2,Standard,Retail,Sports,49,56.07,2747.43,0.0775,213.04,2534.39
United Kingdom,2022,1,2022-01-01,South East,D1007,South Dealer 2,2,Standard,Retail,Beauty,104,19.33,2010.32,0.0257,51.57,1958.75
United Kingdom,2022,1,2022-01-01,South East,D1008,South Dealer 3,4,Standard,Retail,Sports,65,57.22,3719.3,0.0182,67.8,3651.5
United Kingdom,2022,1,2022-01-01,South East,D1008,South Dealer 3,4,Standard,Online,Grocery,299,7.52,2248.48,0.0274,61.69,2186.79
United Kingdom,2022,1,2022-01-01,South East,D1009,South Dealer 4,3,Silver,Retail,Electronics,23,232.7,5352.1,0.0452,242.06,5110.04
United Kingdom,2022,1,2022-01-01,South East,D1009,South Dealer 4,3,Silver,Retail,Home & Garden,44,72.49,3189.56,0.05,159.33,3030.23
United Kingdom,2022,1,2022-01-01,South East,D1009,South Dealer 4,3,Silver,Online,Clothing,100,31.63,3163.0,0.0509,160.96,3002.04
United Kingdom,2022,1,2022-01-01,South East,D1009,South Dealer 4,3,Silver,Wholesale,Grocery,490,7.28,3567.2,0.0501,178.81,3388.39
